TIME,INDICATOR_approvisionnement,SUBJECT_approvisionnement,MEASURE_approvisionnement,Value_approvisionnement,Flag Codes_approvisionnement,INDICATOR_production,SUBJECT_production,MEASURE_production,Value_production,Flag Codes_production,LOCATION,FREQUENCY,Value_prix,Value_renouvelable
1980,PRYENRGSUPPLY,TOT,TOE_1000USD,0.191,,OILPROD,TOT,KTOE,19471.877,,AUS,A,31.81,4745.682
1981,PRYENRGSUPPLY,TOT,TOE_1000USD,0.18600000000000003,,OILPROD,TOT,KTOE,19007.475,,AUS,A,35.88,5063.213
1982,PRYENRGSUPPLY,TOT,TOE_1000USD,0.198,,OILPROD,TOT,KTOE,18706.129,,AUS,A,35.42,5173.465
1983,PRYENRGSUPPLY,TOT,TOE_1000USD,0.182,,OILPROD,TOT,KTOE,18220.054,,AUS,A,30.88,5006.549
1984,PRYENRGSUPPLY,TOT,TOE_1000USD,0.17800000000000002,,OILPROD,TOT,KTOE,22148.898999999998,,AUS,A,29.19,4912.525
1985,PRYENRGSUPPLY,TOT,TOE_1000USD,0.17300000000000001,,OILPROD,TOT,KTOE,25468.86,,AUS,A,28.17,5165.764
1986,PRYENRGSUPPLY,TOT,TOE_1000USD,0.171,,OILPROD,TOT,KTOE,26561.558999999997,,AUS,A,14.49,4729.345
1987,PRYENRGSUPPLY,TOT,TOE_1000USD,0.16899999999999998,,OILPROD,TOT,KTOE,26399.764,,AUS,A,19.0,4700.803
1988,PRYENRGSUPPLY,TOT,TOE_1000USD,0.166,,OILPROD,TOT,KTOE,26322.923,,AUS,A,15.93,4809.803
1989,PRYENRGSUPPLY,TOT,TOE_1000USD,0.171,,OILPROD,TOT,KTOE,23679.705,,AUS,A,17.63,4981.728
1990,PRYENRGSUPPLY,TOT,TOE_1000USD,0.17600000000000002,,OILPROD,TOT,KTOE,26752.604,,AUS,A,24.21,5074.181
1991,PRYENRGSUPPLY,TOT,TOE_1000USD,0.17300000000000001,,OILPROD,TOT,KTOE,26717.935,,AUS,A,20.7,5192.787
1992,PRYENRGSUPPLY,TOT,TOE_1000USD,0.16899999999999998,,OILPROD,TOT,KTOE,23439.126,,AUS,A,20.16,4728.035
1993,PRYENRGSUPPLY,TOT,TOE_1000USD,0.171,,OILPROD,TOT,KTOE,22940.107999999997,,AUS,A,17.91,5482.54
1994,PRYENRGSUPPLY,TOT,TOE_1000USD,0.165,,OILPROD,TOT,KTOE,21286.521,,AUS,A,16.76,5382.158
1995,PRYENRGSUPPLY,TOT,TOE_1000USD,0.161,,OILPROD,TOT,KTOE,22718.44,,AUS,A,18.53,5531.404
1996,PRYENRGSUPPLY,TOT,TOE_1000USD,0.166,,OILPROD,TOT,KTOE,20539.57,,AUS,A,21.81,6109.33
1997,PRYENRGSUPPLY,TOT,TOE_1000USD,0.162,,OILPROD,TOT,KTOE,20494.396,,AUS,A,21.78,6399.093000000001
1998,PRYENRGSUPPLY,TOT,TOE_1000USD,0.158,,OILPROD,TOT,KTOE,22008.257999999998,,AUS,A,14.6,6184.6140000000005
1999,PRYENRGSUPPLY,TOT,TOE_1000USD,0.156,,OILPROD,TOT,KTOE,16551.631,,AUS,A,18.38,6269.25
2000,PRYENRGSUPPLY,TOT,TOE_1000USD,0.156,,OILPROD,TOT,KTOE,25081.157000000003,,AUS,A,30.79,6353.578
2001,PRYENRGSUPPLY,TOT,TOE_1000USD,0.146,,OILPROD,TOT,KTOE,26611.827999999998,,AUS,A,26.61,6478.533
2002,PRYENRGSUPPLY,TOT,TOE_1000USD,0.147,,OILPROD,TOT,KTOE,30307.711,,AUS,A,25.8,6755.816999999999
2003,PRYENRGSUPPLY,TOT,TOE_1000USD,0.14300000000000002,,OILPROD,TOT,KTOE,29403.176,,AUS,A,31.24,6626.507
2004,PRYENRGSUPPLY,TOT,TOE_1000USD,0.141,,OILPROD,TOT,KTOE,25785.035,,AUS,A,40.93,6529.99
2005,PRYENRGSUPPLY,TOT,TOE_1000USD,0.138,,OILPROD,TOT,KTOE,22928.552000000003,,AUS,A,56.71,6462.439
2006,PRYENRGSUPPLY,TOT,TOE_1000USD,0.139,,OILPROD,TOT,KTOE,20414.553,,AUS,A,66.71,6652.609
2007,PRYENRGSUPPLY,TOT,TOE_1000USD,0.138,,OILPROD,TOT,KTOE,23214.306,,AUS,A,77.13,6874.774
2008,PRYENRGSUPPLY,TOT,TOE_1000USD,0.141,,OILPROD,TOT,KTOE,21500.836,,AUS,A,107.83,7056.564
2009,PRYENRGSUPPLY,TOT,TOE_1000USD,0.138,,OILPROD,TOT,KTOE,22170.045,,AUS,A,63.4,5582.316999999999
2010,PRYENRGSUPPLY,TOT,TOE_1000USD,0.135,,OILPROD,TOT,KTOE,23141.817000000003,,AUS,A,82.6,6677.371
2011,PRYENRGSUPPLY,TOT,TOE_1000USD,0.131,,OILPROD,TOT,KTOE,22232.029,,AUS,A,115.66,6922.845
2012,PRYENRGSUPPLY,TOT,TOE_1000USD,0.126,,OILPROD,TOT,KTOE,20728.672,,AUS,A,117.78,6896.422
2013,PRYENRGSUPPLY,TOT,TOE_1000USD,0.12300000000000001,,OILPROD,TOT,KTOE,17979.346999999998,,AUS,A,114.19,7663.548000000001
2014,PRYENRGSUPPLY,TOT,TOE_1000USD,0.11900000000000001,,OILPROD,TOT,KTOE,16925.631,,AUS,A,107.05,7924.376
2015,PRYENRGSUPPLY,TOT,TOE_1000USD,0.115,,OILPROD,TOT,KTOE,16159.77,,AUS,A,57.9,8005.3640000000005
2016,PRYENRGSUPPLY,TOT,TOE_1000USD,0.11699999999999999,,OILPROD,TOT,KTOE,15783.669,,AUS,A,46.87,8287.938
2017,PRYENRGSUPPLY,TOT,TOE_1000USD,0.11699999999999999,,OILPROD,TOT,KTOE,13563.828000000001,,AUS,A,56.99,8907.443000000001
1980,PRYENRGSUPPLY,TOT,TOE_1000USD,0.124,,OILPROD,TOT,KTOE,1469.858,,AUT,A,33.66,3607.218
1981,PRYENRGSUPPLY,TOT,TOE_1000USD,0.11699999999999999,,OILPROD,TOT,KTOE,1324.6989999999998,,AUT,A,37.8,3878.6
1982,PRYENRGSUPPLY,TOT,TOE_1000USD,0.113,,OILPROD,TOT,KTOE,1280.035,,AUT,A,33.49,4031.327
1983,PRYENRGSUPPLY,TOT,TOE_1000USD,0.11,,OILPROD,TOT,KTOE,1255.673,,AUT,A,30.66,4026.2870000000003
1984,PRYENRGSUPPLY,TOT,TOE_1000USD,0.114,,OILPROD,TOT,KTOE,1192.737,,AUT,A,29.66,4111.073
1985,PRYENRGSUPPLY,TOT,TOE_1000USD,0.115,,OILPROD,TOT,KTOE,1137.922,,AUT,A,28.74,4443.522
1986,PRYENRGSUPPLY,TOT,TOE_1000USD,0.113,,OILPROD,TOT,KTOE,1110.514,,AUT,A,16.28,4718.787
1987,PRYENRGSUPPLY,TOT,TOE_1000USD,0.115,,OILPROD,TOT,KTOE,1062.805,,AUT,A,18.81,5277.983
1988,PRYENRGSUPPLY,TOT,TOE_1000USD,0.113,,OILPROD,TOT,KTOE,1192.737,,AUT,A,16.21,6233.5109999999995
1989,PRYENRGSUPPLY,TOT,TOE_1000USD,0.107,,OILPROD,TOT,KTOE,1173.45,,AUT,A,19.1,5719.814
1990,PRYENRGSUPPLY,TOT,TOE_1000USD,0.107,,OILPROD,TOT,KTOE,1166.344,,AUT,A,24.58,5037.704000000001
1991,PRYENRGSUPPLY,TOT,TOE_1000USD,0.11,,OILPROD,TOT,KTOE,1299.322,,AUT,A,22.55,5247.696999999999
1992,PRYENRGSUPPLY,TOT,TOE_1000USD,0.10300000000000001,,OILPROD,TOT,KTOE,1197.812,,AUT,A,20.35,5489.544
1993,PRYENRGSUPPLY,TOT,TOE_1000USD,0.10400000000000001,,OILPROD,TOT,KTOE,1171.42,,AUT,A,18.02,5780.459
1994,PRYENRGSUPPLY,TOT,TOE_1000USD,0.10099999999999999,,OILPROD,TOT,KTOE,1115.589,,AUT,A,16.99,5607.47
1995,PRYENRGSUPPLY,TOT,TOE_1000USD,0.10300000000000001,,OILPROD,TOT,KTOE,1050.623,,AUT,A,18.78,5890.733
1996,PRYENRGSUPPLY,TOT,TOE_1000USD,0.107,,OILPROD,TOT,KTOE,1006.9739999999999,,AUT,A,22.06,5839.319
1997,PRYENRGSUPPLY,TOT,TOE_1000USD,0.10400000000000001,,OILPROD,TOT,KTOE,986.905,,AUT,A,21.31,5902.818
1998,PRYENRGSUPPLY,TOT,TOE_1000USD,0.102,,OILPROD,TOT,KTOE,973.4760000000001,,AUT,A,14.34,5944.674
1999,PRYENRGSUPPLY,TOT,TOE_1000USD,0.098,,OILPROD,TOT,KTOE,1020.284,,AUT,A,17.54,6644.62
2000,PRYENRGSUPPLY,TOT,TOE_1000USD,0.095,,OILPROD,TOT,KTOE,989.322,,AUT,A,29.39,6574.008000000001
2001,PRYENRGSUPPLY,TOT,TOE_1000USD,0.099,,OILPROD,TOT,KTOE,971.446,,AUT,A,25.32,6659.505
2002,PRYENRGSUPPLY,TOT,TOE_1000USD,0.098,,OILPROD,TOT,KTOE,962.31,,AUT,A,24.64,6481.977
2003,PRYENRGSUPPLY,TOT,TOE_1000USD,0.102,,OILPROD,TOT,KTOE,932.872,,AUT,A,29.59,6016.552
2004,PRYENRGSUPPLY,TOT,TOE_1000USD,0.10099999999999999,,OILPROD,TOT,KTOE,985.6569999999999,,AUT,A,38.21,6418.325
2005,PRYENRGSUPPLY,TOT,TOE_1000USD,0.102,,OILPROD,TOT,KTOE,867.9060000000001,,AUT,A,53.15,6948.173000000001
2006,PRYENRGSUPPLY,TOT,TOE_1000USD,0.099,,OILPROD,TOT,KTOE,868.921,,AUT,A,64.44,7362.371999999999
2007,PRYENRGSUPPLY,TOT,TOE_1000USD,0.094,,OILPROD,TOT,KTOE,865.8760000000001,,AUT,A,71.86,7854.861
2008,PRYENRGSUPPLY,TOT,TOE_1000USD,0.09300000000000001,,OILPROD,TOT,KTOE,875.012,,AUT,A,103.05,8212.478000000001
2009,PRYENRGSUPPLY,TOT,TOE_1000USD,0.091,,OILPROD,TOT,KTOE,922.721,,AUT,A,60.69,8716.515
2010,PRYENRGSUPPLY,TOT,TOE_1000USD,0.096,,OILPROD,TOT,KTOE,890.238,,AUT,A,80.0,9016.037
2011,PRYENRGSUPPLY,TOT,TOE_1000USD,0.091,,OILPROD,TOT,KTOE,850.65,,AUT,A,110.92,8669.651
2012,PRYENRGSUPPLY,TOT,TOE_1000USD,0.09,,OILPROD,TOT,KTOE,851.665,,AUT,A,112.5,9818.319
2013,PRYENRGSUPPLY,TOT,TOE_1000USD,0.092,,OILPROD,TOT,KTOE,855.725,,AUT,A,110.63,10092.466
2014,PRYENRGSUPPLY,TOT,TOE_1000USD,0.08800000000000001,,OILPROD,TOT,KTOE,967.3860000000001,,AUT,A,103.81,9741.687
2015,PRYENRGSUPPLY,TOT,TOE_1000USD,0.08900000000000001,,OILPROD,TOT,KTOE,866.8910000000001,,AUT,A,55.52,9742.269
2016,PRYENRGSUPPLY,TOT,TOE_1000USD,0.08800000000000001,,OILPROD,TOT,KTOE,797.865,,AUT,A,42.89,10050.168
2017,PRYENRGSUPPLY,TOT,TOE_1000USD,0.087,,OILPROD,TOT,KTOE,746.095,,AUT,A,54.73,10035.636
1980,PRYENRGSUPPLY,TOT,TOE_1000USD,0.191,,OILPROD,TOT,KTOE,0.0,,BEL,A,29.93,81.29899999999999
1981,PRYENRGSUPPLY,TOT,TOE_1000USD,0.179,,OILPROD,TOT,KTOE,0.0,,BEL,A,33.86,88.76899999999999
1982,PRYENRGSUPPLY,TOT,TOE_1000USD,0.16899999999999998,,OILPROD,TOT,KTOE,0.0,,BEL,A,33.58,37.135
1983,PRYENRGSUPPLY,TOT,TOE_1000USD,0.166,,OILPROD,TOT,KTOE,0.0,,BEL,A,29.8,39.926
1984,PRYENRGSUPPLY,TOT,TOE_1000USD,0.16899999999999998,,OILPROD,TOT,KTOE,0.0,,BEL,A,28.99,42.84
1985,PRYENRGSUPPLY,TOT,TOE_1000USD,0.172,,OILPROD,TOT,KTOE,0.0,,BEL,A,27.47,50.235
1986,PRYENRGSUPPLY,TOT,TOE_1000USD,0.175,,OILPROD,TOT,KTOE,0.0,,BEL,A,14.19,76.283
1987,PRYENRGSUPPLY,TOT,TOE_1000USD,0.175,,OILPROD,TOT,KTOE,0.0,,BEL,A,17.78,92.171
1988,PRYENRGSUPPLY,TOT,TOE_1000USD,0.16899999999999998,,OILPROD,TOT,KTOE,0.0,,BEL,A,14.85,98.12200000000001
1989,PRYENRGSUPPLY,TOT,TOE_1000USD,0.165,,OILPROD,TOT,KTOE,0.0,,BEL,A,17.3,287.742
1990,PRYENRGSUPPLY,TOT,TOE_1000USD,0.161,,OILPROD,TOT,KTOE,0.0,,BEL,A,21.11,481.175
1991,PRYENRGSUPPLY,TOT,TOE_1000USD,0.165,,OILPROD,TOT,KTOE,0.0,,BEL,A,19.36,486.844
1992,PRYENRGSUPPLY,TOT,TOE_1000USD,0.16399999999999998,,OILPROD,TOT,KTOE,0.0,,BEL,A,18.13,482.73199999999997
1993,PRYENRGSUPPLY,TOT,TOE_1000USD,0.162,,OILPROD,TOT,KTOE,0.0,,BEL,A,15.84,408.64599999999996
1994,PRYENRGSUPPLY,TOT,TOE_1000USD,0.166,,OILPROD,TOT,KTOE,0.0,,BEL,A,15.41,405.371
1995,PRYENRGSUPPLY,TOT,TOE_1000USD,0.165,,OILPROD,TOT,KTOE,0.0,,BEL,A,16.94,527.998
1996,PRYENRGSUPPLY,TOT,TOE_1000USD,0.171,,OILPROD,TOT,KTOE,0.0,,BEL,A,20.53,527.114
1997,PRYENRGSUPPLY,TOT,TOE_1000USD,0.165,,OILPROD,TOT,KTOE,0.0,,BEL,A,18.65,518.888
1998,PRYENRGSUPPLY,TOT,TOE_1000USD,0.165,,OILPROD,TOT,KTOE,0.0,,BEL,A,11.97,570.102
1999,PRYENRGSUPPLY,TOT,TOE_1000USD,0.16,,OILPROD,TOT,KTOE,0.0,,BEL,A,17.33,606.249
2000,PRYENRGSUPPLY,TOT,TOE_1000USD,0.156,,OILPROD,TOT,KTOE,0.0,,BEL,A,27.87,638.021
2001,PRYENRGSUPPLY,TOT,TOE_1000USD,0.154,,OILPROD,TOT,KTOE,0.0,,BEL,A,24.2,703.707
2002,PRYENRGSUPPLY,TOT,TOE_1000USD,0.146,,OILPROD,TOT,KTOE,0.0,,BEL,A,24.35,711.597
2003,PRYENRGSUPPLY,TOT,TOE_1000USD,0.151,,OILPROD,TOT,KTOE,0.0,,BEL,A,27.72,867.298
2004,PRYENRGSUPPLY,TOT,TOE_1000USD,0.146,,OILPROD,TOT,KTOE,0.0,,BEL,A,35.35,965.845
2005,PRYENRGSUPPLY,TOT,TOE_1000USD,0.14300000000000002,,OILPROD,TOT,KTOE,0.0,,BEL,A,50.06,1156.2910000000002
2006,PRYENRGSUPPLY,TOT,TOE_1000USD,0.138,,OILPROD,TOT,KTOE,0.0,,BEL,A,61.06,1364.864
2007,PRYENRGSUPPLY,TOT,TOE_1000USD,0.131,,OILPROD,TOT,KTOE,0.0,,BEL,A,70.35,1590.9189999999999
2008,PRYENRGSUPPLY,TOT,TOE_1000USD,0.134,,OILPROD,TOT,KTOE,0.0,,BEL,A,96.01,1910.4589999999998
2009,PRYENRGSUPPLY,TOT,TOE_1000USD,0.131,,OILPROD,TOT,KTOE,0.0,,BEL,A,61.77,2268.206
2010,PRYENRGSUPPLY,TOT,TOE_1000USD,0.13699999999999998,,OILPROD,TOT,KTOE,0.0,,BEL,A,79.65,2833.011
2011,PRYENRGSUPPLY,TOT,TOE_1000USD,0.126,,OILPROD,TOT,KTOE,0.0,,BEL,A,110.5,3119.803
2012,PRYENRGSUPPLY,TOT,TOE_1000USD,0.121,,OILPROD,TOT,KTOE,0.0,,BEL,A,110.83,3364.653
2013,PRYENRGSUPPLY,TOT,TOE_1000USD,0.125,,OILPROD,TOT,KTOE,0.0,,BEL,A,108.45,3505.048
2014,PRYENRGSUPPLY,TOT,TOE_1000USD,0.11699999999999999,,OILPROD,TOT,KTOE,0.0,,BEL,A,98.49,3398.164
2015,PRYENRGSUPPLY,TOT,TOE_1000USD,0.11599999999999999,,OILPROD,TOT,KTOE,0.0,,BEL,A,51.65,3664.295
2016,PRYENRGSUPPLY,TOT,TOE_1000USD,0.121,,OILPROD,TOT,KTOE,0.0,,BEL,A,42.06,3915.9970000000003
2017,PRYENRGSUPPLY,TOT,TOE_1000USD,0.11699999999999999,,OILPROD,TOT,KTOE,0.0,,BEL,A,53.01,4129.034000000001
1980,PRYENRGSUPPLY,TOT,TOE_1000USD,0.29100000000000004,,OILPROD,TOT,KTOE,65540.201,,CAN,A,30.21,29243.379
1981,PRYENRGSUPPLY,TOT,TOE_1000USD,0.275,,OILPROD,TOT,KTOE,58534.242999999995,,CAN,A,35.28,30160.457000000002
1982,PRYENRGSUPPLY,TOT,TOE_1000USD,0.273,,OILPROD,TOT,KTOE,57339.499,,CAN,A,33.29,29373.889
1983,PRYENRGSUPPLY,TOT,TOE_1000USD,0.265,,OILPROD,TOT,KTOE,59548.087999999996,,CAN,A,29.49,30820.345
1984,PRYENRGSUPPLY,TOT,TOE_1000USD,0.263,,OILPROD,TOT,KTOE,66797.287,,CAN,A,28.75,32576.231
1985,PRYENRGSUPPLY,TOT,TOE_1000USD,0.257,,OILPROD,TOT,KTOE,66419.13900000001,,CAN,A,27.85,34587.197
1986,PRYENRGSUPPLY,TOT,TOE_1000USD,0.256,,OILPROD,TOT,KTOE,66554.046,,CAN,A,16.0,35574.466
1987,PRYENRGSUPPLY,TOT,TOE_1000USD,0.254,,OILPROD,TOT,KTOE,70292.601,,CAN,A,18.59,36145.48
1988,PRYENRGSUPPLY,TOT,TOE_1000USD,0.253,,OILPROD,TOT,KTOE,73515.035,,CAN,A,15.48,35364.602999999996
1989,PRYENRGSUPPLY,TOT,TOE_1000USD,0.254,,OILPROD,TOT,KTOE,70081.043,,CAN,A,18.56,33663.051
1990,PRYENRGSUPPLY,TOT,TOE_1000USD,0.247,,OILPROD,TOT,KTOE,69998.259,,CAN,A,24.15,36327.19
1991,PRYENRGSUPPLY,TOT,TOE_1000USD,0.252,,OILPROD,TOT,KTOE,68728.908,,CAN,A,20.83,37303.541
1992,PRYENRGSUPPLY,TOT,TOE_1000USD,0.255,,OILPROD,TOT,KTOE,71553.776,,CAN,A,19.46,38080.041
1993,PRYENRGSUPPLY,TOT,TOE_1000USD,0.257,,OILPROD,TOT,KTOE,74872.28,,CAN,A,17.19,38745.141
1994,PRYENRGSUPPLY,TOT,TOE_1000USD,0.255,,OILPROD,TOT,KTOE,77323.088,,CAN,A,16.3,40750.487
1995,PRYENRGSUPPLY,TOT,TOE_1000USD,0.251,,OILPROD,TOT,KTOE,79944.573,,CAN,A,17.76,41661.898
1996,PRYENRGSUPPLY,TOT,TOE_1000USD,0.252,,OILPROD,TOT,KTOE,81793.41,,CAN,A,21.26,42689.672999999995
1997,PRYENRGSUPPLY,TOT,TOE_1000USD,0.244,,OILPROD,TOT,KTOE,86451.784,,CAN,A,20.59,42317.532
1998,PRYENRGSUPPLY,TOT,TOE_1000USD,0.23399999999999999,,OILPROD,TOT,KTOE,91123.445,,CAN,A,13.15,41410.166
1999,PRYENRGSUPPLY,TOT,TOE_1000USD,0.22899999999999998,,OILPROD,TOT,KTOE,84443.51199999999,,CAN,A,17.85,43270.704000000005
2000,PRYENRGSUPPLY,TOT,TOE_1000USD,0.22399999999999998,,OILPROD,TOT,KTOE,89873.513,,CAN,A,29.1,44581.924000000006
2001,PRYENRGSUPPLY,TOT,TOE_1000USD,0.217,,OILPROD,TOT,KTOE,90223.04400000001,,CAN,A,24.87,41478.112
2002,PRYENRGSUPPLY,TOT,TOE_1000USD,0.21100000000000002,,OILPROD,TOT,KTOE,93116.38699999999,,CAN,A,24.97,44148.276
2003,PRYENRGSUPPLY,TOT,TOE_1000USD,0.218,,OILPROD,TOT,KTOE,101441.775,,CAN,A,29.53,42822.642
2004,PRYENRGSUPPLY,TOT,TOE_1000USD,0.217,,OILPROD,TOT,KTOE,104830.799,,CAN,A,38.13,44200.058
2005,PRYENRGSUPPLY,TOT,TOE_1000USD,0.212,,OILPROD,TOT,KTOE,106808.41,,CAN,A,52.37,45552.995
2006,PRYENRGSUPPLY,TOT,TOE_1000USD,0.21,,OILPROD,TOT,KTOE,115490.484,,CAN,A,64.33,44266.739
2007,PRYENRGSUPPLY,TOT,TOE_1000USD,0.20600000000000002,,OILPROD,TOT,KTOE,109452.38,,CAN,A,70.04,45919.959
2008,PRYENRGSUPPLY,TOT,TOE_1000USD,0.201,,OILPROD,TOT,KTOE,110046.175,,CAN,A,101.41,45966.747
2009,PRYENRGSUPPLY,TOT,TOE_1000USD,0.198,,OILPROD,TOT,KTOE,103680.002,,CAN,A,60.29,45008.922999999995
2010,PRYENRGSUPPLY,TOT,TOE_1000USD,0.193,,OILPROD,TOT,KTOE,110424.323,,CAN,A,79.14,44004.666
2011,PRYENRGSUPPLY,TOT,TOE_1000USD,0.19,,OILPROD,TOT,KTOE,117003.076,,CAN,A,110.8,46472.93
2012,PRYENRGSUPPLY,TOT,TOE_1000USD,0.188,,OILPROD,TOT,KTOE,127611.66,,CAN,A,110.61,47156.825999999994
2013,PRYENRGSUPPLY,TOT,TOE_1000USD,0.18600000000000003,,OILPROD,TOT,KTOE,138333.688,,CAN,A,108.6,49437.705
2014,PRYENRGSUPPLY,TOT,TOE_1000USD,0.18600000000000003,,OILPROD,TOT,KTOE,152695.136,,CAN,A,98.6,49060.63
2015,PRYENRGSUPPLY,TOT,TOE_1000USD,0.185,,OILPROD,TOT,KTOE,158024.979,,CAN,A,53.48,49279.011
2016,PRYENRGSUPPLY,TOT,TOE_1000USD,0.182,,OILPROD,TOT,KTOE,161526.424,,CAN,A,43.6,48793.460999999996
2017,PRYENRGSUPPLY,TOT,TOE_1000USD,0.183,,OILPROD,TOT,KTOE,174226.065,,CAN,A,54.3,50277.577000000005
1980,PRYENRGSUPPLY,TOT,TOE_1000USD,0.264,,OILPROD,TOT,KTOE,50.898,,CZE,A,,206.27700000000002
1981,PRYENRGSUPPLY,TOT,TOE_1000USD,0.266,,OILPROD,TOT,KTOE,49.9,,CZE,A,,177.21400000000003
1982,PRYENRGSUPPLY,TOT,TOE_1000USD,0.266,,OILPROD,TOT,KTOE,53.891999999999996,,CZE,A,,143.594
1983,PRYENRGSUPPLY,TOT,TOE_1000USD,0.263,,OILPROD,TOT,KTOE,55.888000000000005,,CZE,A,,142.304
1984,PRYENRGSUPPLY,TOT,TOE_1000USD,0.264,,OILPROD,TOT,KTOE,55.888000000000005,,CZE,A,,111.60799999999999
1985,PRYENRGSUPPLY,TOT,TOE_1000USD,0.263,,OILPROD,TOT,KTOE,56.886,,CZE,A,,143.68
1986,PRYENRGSUPPLY,TOT,TOE_1000USD,0.262,,OILPROD,TOT,KTOE,55.888000000000005,,CZE,A,,161.30700000000002
1987,PRYENRGSUPPLY,TOT,TOE_1000USD,0.268,,OILPROD,TOT,KTOE,50.898,,CZE,A,,211.952
1988,PRYENRGSUPPLY,TOT,TOE_1000USD,0.258,,OILPROD,TOT,KTOE,44.91,,CZE,A,,180.482
1989,PRYENRGSUPPLY,TOT,TOE_1000USD,0.24,,OILPROD,TOT,KTOE,46.906000000000006,,CZE,A,,141.273
1990,PRYENRGSUPPLY,TOT,TOE_1000USD,0.24600000000000002,,OILPROD,TOT,KTOE,49.9,,CZE,A,,1140.671
1991,PRYENRGSUPPLY,TOT,TOE_1000USD,0.253,,OILPROD,TOT,KTOE,68.862,,CZE,A,,1144.296
1992,PRYENRGSUPPLY,TOT,TOE_1000USD,0.248,,OILPROD,TOT,KTOE,81.835,,CZE,A,17.75,1673.765
1993,PRYENRGSUPPLY,TOT,TOE_1000USD,0.24,,OILPROD,TOT,KTOE,110.777,,CZE,A,14.83,1644.295
1994,PRYENRGSUPPLY,TOT,TOE_1000USD,0.225,,OILPROD,TOT,KTOE,127.743,,CZE,A,14.32,1585.721
1995,PRYENRGSUPPLY,TOT,TOE_1000USD,0.215,,OILPROD,TOT,KTOE,145.222,,CZE,A,15.6,1431.7179999999998
1996,PRYENRGSUPPLY,TOT,TOE_1000USD,0.212,,OILPROD,TOT,KTOE,151.201,,CZE,A,,1428.8110000000001
1997,PRYENRGSUPPLY,TOT,TOE_1000USD,0.215,,OILPROD,TOT,KTOE,162.143,,CZE,A,,1561.5610000000001
1998,PRYENRGSUPPLY,TOT,TOE_1000USD,0.209,,OILPROD,TOT,KTOE,177.94,,CZE,A,,1592.233
1999,PRYENRGSUPPLY,TOT,TOE_1000USD,0.192,,OILPROD,TOT,KTOE,183.197,,CZE,A,,1679.7220000000002
2000,PRYENRGSUPPLY,TOT,TOE_1000USD,0.19399999999999998,,OILPROD,TOT,KTOE,175.456,,CZE,A,26.59,1614.632
2001,PRYENRGSUPPLY,TOT,TOE_1000USD,0.193,,OILPROD,TOT,KTOE,183.28799999999998,,CZE,A,23.74,1740.7179999999998
2002,PRYENRGSUPPLY,TOT,TOE_1000USD,0.193,,OILPROD,TOT,KTOE,265.835,,CZE,A,23.37,1955.1770000000001
2003,PRYENRGSUPPLY,TOT,TOE_1000USD,0.19399999999999998,,OILPROD,TOT,KTOE,317.522,,CZE,A,28.13,1832.35
2004,PRYENRGSUPPLY,TOT,TOE_1000USD,0.18899999999999997,,OILPROD,TOT,KTOE,305.942,,CZE,A,34.82,2013.91
2005,PRYENRGSUPPLY,TOT,TOE_1000USD,0.17600000000000002,,OILPROD,TOT,KTOE,312.94,,CZE,A,51.28,2087.217
2006,PRYENRGSUPPLY,TOT,TOE_1000USD,0.168,,OILPROD,TOT,KTOE,265.73400000000004,,CZE,A,62.05,2213.074
2007,PRYENRGSUPPLY,TOT,TOE_1000USD,0.159,,OILPROD,TOT,KTOE,247.22799999999998,,CZE,A,68.54,2319.6620000000003
2008,PRYENRGSUPPLY,TOT,TOE_1000USD,0.152,,OILPROD,TOT,KTOE,242.763,,CZE,A,97.71,2517.632
2009,PRYENRGSUPPLY,TOT,TOE_1000USD,0.15,,OILPROD,TOT,KTOE,222.7,,CZE,A,60.77,2842.6859999999997
2010,PRYENRGSUPPLY,TOT,TOE_1000USD,0.155,,OILPROD,TOT,KTOE,178.236,,CZE,A,79.04,3131.2929999999997
2011,PRYENRGSUPPLY,TOT,TOE_1000USD,0.147,,OILPROD,TOT,KTOE,167.097,,CZE,A,110.42,3439.84
2012,PRYENRGSUPPLY,TOT,TOE_1000USD,0.147,,OILPROD,TOT,KTOE,157.982,,CZE,A,112.33,3687.265
2013,PRYENRGSUPPLY,TOT,TOE_1000USD,0.14800000000000002,,OILPROD,TOT,KTOE,155.96,,CZE,A,110.26,4050.2009999999996
2014,PRYENRGSUPPLY,TOT,TOE_1000USD,0.14,,OILPROD,TOT,KTOE,151.91,,CZE,A,102.13,4175.393
2015,PRYENRGSUPPLY,TOT,TOE_1000USD,0.133,,OILPROD,TOT,KTOE,129.63,,CZE,A,54.91,4279.478
2016,PRYENRGSUPPLY,TOT,TOE_1000USD,0.128,,OILPROD,TOT,KTOE,118.48899999999999,,CZE,A,42.8,4310.901
2017,PRYENRGSUPPLY,TOT,TOE_1000USD,0.128,,OILPROD,TOT,KTOE,109.375,,CZE,A,53.69,4466.079000000001
1980,PRYENRGSUPPLY,TOT,TOE_1000USD,0.138,,OILPROD,TOT,KTOE,303.922,,DNK,A,33.56,586.3580000000001
1981,PRYENRGSUPPLY,TOT,TOE_1000USD,0.126,,OILPROD,TOT,KTOE,773.063,,DNK,A,36.68,704.915
1982,PRYENRGSUPPLY,TOT,TOE_1000USD,0.12300000000000001,,OILPROD,TOT,KTOE,1719.504,,DNK,A,33.4,758.4789999999999
